# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.055282793067892494,0.0552827930678925,0.0552827930678925,0.0552827930678925,0.055282793067892494,0.05528279306789251,0.0552827930678925,0.0552827930678925
2030,0.029776163972032216,0.029776163972032223,0.029776163972032223,0.029776163972032216,0.029776163972032216,0.02977616397203222,0.02977616397203222,0.029776163972032223
2040,0.016037925553038592,0.016037925553038592,0.016037925553038592,0.016037925553038592,0.016037925553038592,0.016037925553038592,0.016037925553038596,0.016037925553038596
2050,0.008638243363938817,0.008638243363938819,0.008638243363938819,0.008638243363938817,0.008638243363938819,0.008638243363938819,0.008638243363938819,0.008638243363938819
2075,,,,,,,,
2100,0.00038988220149384573,0.00038988220149384573,0.00038988220149384573,0.00038988220149384573,0.00038988220149384573,0.00038988220149384573,0.00038988220149384573,0.00038988220149384573
2150,0.0002599214676625638,0.0002599214676625638,0.0002599214676625639,0.0002599214676625638,0.0002599214676625638,0.0002599214676625639,0.0002599214676625638,0.0002599214676625639
2200,0.00012996073383128186,0.00012996073383128186,0.00012996073383128186,0.00012996073383128186,0.00012996073383128186,0.00012996073383128188,0.00012996073383128188,0.00012996073383128188
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
