# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.6235572927230566,0.6235572927230567,0.6235572927230567,0.6235572927230567,0.6235572927230566,0.6235572927230567,0.6235572927230566,0.6235572927230566
2030,0.6215272444020484,0.6215272444020484,0.6215272444020484,0.6215272444020485,0.6215272444020484,0.6215272444020485,0.6215272444020484,0.6215272444020484
2040,0.5686352682087261,0.5686352682087261,0.5686352682087261,0.5686352682087262,0.5686352682087261,0.5686352682087262,0.5686352682087262,0.5686352682087261
2050,0.5124816981441187,0.5124816981441188,0.5124816981441187,0.5124816981441188,0.5124816981441187,0.5124816981441188,0.5124816981441187,0.5124816981441187
2075,,,,,,,,
2100,0.4662679302224349,0.466267930222435,0.4662679302224349,0.46626793022243496,0.46626793022243496,0.466267930222435,0.46626793022243496,0.4662679302224349
2150,0.3108452868149566,0.31084528681495666,0.3108452868149566,0.31084528681495666,0.3108452868149566,0.3108452868149566,0.3108452868149566,0.3108452868149566
2200,0.1554226434074783,0.15542264340747833,0.1554226434074783,0.15542264340747833,0.1554226434074783,0.1554226434074783,0.1554226434074783,0.1554226434074783
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
