# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1008.9139276004969,1008.9139276004969,1008.9139276004969,1008.913927600497,1008.9139276004969,1008.9139276004968,1008.913927600497,1008.9139276004969
2030,1087.85121080813,1087.85121080813,1087.85121080813,1087.8512108081302,1087.85121080813,1087.85121080813,1087.85121080813,1087.8512108081302
2040,1124.830899460569,1124.8308994605693,1124.8308994605693,1124.8308994605693,1124.8308994605693,1124.830899460569,1124.8308994605693,1124.8308994605695
2050,1121.5493510444408,1121.5493510444408,1121.5493510444408,1121.5493510444408,1121.5493510444405,1121.5493510444405,1121.5493510444408,1121.5493510444408
2075,,,,,,,,
2100,778.0878171984641,778.0878171984642,778.0878171984642,778.0878171984642,778.0878171984642,778.0878171984642,778.0878171984643,778.0878171984642
2150,731.4646009641735,731.4646009641735,731.4646009641735,731.4646009641735,731.4646009641734,731.4646009641735,731.4646009641735,731.4646009641735
2200,684.8413847298826,684.8413847298826,684.8413847298827,684.8413847298829,684.8413847298826,684.8413847298826,684.8413847298829,684.8413847298829
2250,638.218168495592,638.218168495592,638.218168495592,638.2181684955921,638.218168495592,638.218168495592,638.218168495592,638.2181684955921
2300,638.218168495592,638.218168495592,638.218168495592,638.2181684955921,638.218168495592,638.218168495592,638.218168495592,638.2181684955921
