# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1.060365256752649,1.060365256752649,1.060365256752649,1.0603652567526487,1.060365256752649,1.060365256752649,1.060365256752649,1.060365256752649
2030,1.3413732639661358,1.3413732639661358,1.3413732639661358,1.3413732639661358,1.3413732639661358,1.3413732639661358,1.3413732639661358,1.3413732639661358
2040,1.6683468923483222,1.668346892348322,1.668346892348322,1.668346892348322,1.668346892348322,1.6683468923483222,1.6683468923483222,1.6683468923483222
2050,2.0206312695737387,2.0206312695737383,2.0206312695737387,2.0206312695737383,2.0206312695737383,2.0206312695737387,2.0206312695737387,2.0206312695737383
2075,,,,,,,,
2100,3.0634518618365965,3.0634518618365965,3.0634518618365965,3.0634518618365965,3.0634518618365965,3.063451861836597,3.0634518618365965,3.063451861836597
2150,2.0670493250041613,2.0670493250041613,2.067049325004161,2.067049325004161,2.0670493250041613,2.067049325004161,2.0670493250041613,2.0670493250041613
2200,1.0335246625020806,1.0335246625020806,1.0335246625020804,1.0335246625020804,1.0335246625020806,1.0335246625020804,1.0335246625020806,1.0335246625020806
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
