# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.9082800500437359,0.9082800500437358,0.9082800500437358,0.9082800500437359,0.9082800500437359,0.9082800500437358,0.9082800500437358,0.9082800500437359
2030,0.8103553861934977,0.8103553861934976,0.8103553861934976,0.8103553861934977,0.8103553861934977,0.8103553861934976,0.8103553861934976,0.8103553861934977
2040,0.8099529863438791,0.809952986343879,0.809952986343879,0.809952986343879,0.809952986343879,0.8099529863438789,0.809952986343879,0.809952986343879
2050,0.6849376118716174,0.6849376118716173,0.6849376118716173,0.6849376118716174,0.6849376118716174,0.6849376118716173,0.6849376118716173,0.6849376118716173
2075,,,,,,,,
2100,0.33446507905664946,0.3344650790566494,0.3344650790566494,0.33446507905664946,0.33446507905664946,0.3344650790566494,0.3344650790566494,0.33446507905664946
2150,0.23053353441481161,0.2305335344148116,0.2305335344148116,0.23053353441481161,0.23053353441481161,0.2305335344148116,0.23053353441481161,0.2305335344148116
2200,0.12660198977297382,0.1266019897729738,0.1266019897729738,0.12660198977297382,0.12660198977297382,0.1266019897729738,0.12660198977297382,0.12660198977297382
2250,0.02267044513113598,0.02267044513113598,0.022670445131135978,0.022670445131135985,0.02267044513113598,0.02267044513113598,0.02267044513113598,0.02267044513113598
2300,0.02267044513113598,0.02267044513113598,0.022670445131135978,0.022670445131135985,0.02267044513113598,0.02267044513113598,0.02267044513113598,0.02267044513113598
